Municipio,Codigo_DANE,Documento,ID_Proyecto,Nombre_Proyecto,Codigos_MGA,Indicador de Producto(MGA),Productos,Calificacion,Justificacion
Cajicá,25126,SisPT – Plan indicativo - Productos,1-11,Proyecto: Estudio de la calidad del agua en acueductos rurales de los municipios de la provincia,190603500,Instituciones financiadas para la atención en salud a la población,162. Realizar 1 convenio de desempeño con la ESE Hospital Profesor Jorge Cavelier que garantice el pago de los recursos de oferta,3,"El producto cumple con el objetivo de garantizar la calidad del agua y se alinea con los requerimientos del proyecto, asegurando la vigilancia necesaria para la salud pública."
Cajicá,25126,SisPT – Plan indicativo - Productos,2-1,Creación de una agencia de empleo con cobertura provincial,"220206700, 350200300, 220206300, 220107601, 410307001",Programas y proyectos de educación o investigación articulados con el sector productivo; Programas de gestión empresarial ejecutados en unidades productivas; Beneficiarios de estrategias o programas de apoyo financiero para el acceso a la educación superior; Familias atendidas; Documentos de estudios técnicos sobre pobreza y vulnerabilidad social elaborados,"156. Elaborar y realizar 1 estrategia anual para articular la media con las competencias laborales - Educación para el Trabajo; 222. Implementar 1 proyecto con potencial turístico para Cajicá acorde a los resultados del análisis; 158. laborar y ejecutar 1 Plan anual para incrementar el acceso a la educación superior; 150. Elaborar e implementar 1 Plan anual de apoyo psicosocial - enfermería - ambiente escolar y familiar en las Instituciones Educativas Departamentales; 118. Implementar 1 Plan anual de inclusión social, laboral y educativa para las personas con discapacidad, su familia y sus cuidadores",2,"Los productos seleccionados apoyan la creación de la agencia de empleo al fomentar la educación y la capacitación laboral, aunque no cumplen completamente con todos los requerimientos del proyecto."
Cajicá,25126,SisPT – Plan indicativo - Productos,2-2,Puesta en marcha de una oﬁcina de asesoría empresarial y apoyo a la formación en mecanismos de asociación para el desarrollo con cobertura para los once municipios de Sabana Centro,"350200300, 350209601",Programas de gestión empresarial ejecutados en unidades productivas; Empresas beneficiadas por las iniciativas financiadas para la gestión y el uso eficiente de recursos,"222. Implementar 1 proyecto con potencial turístico para Cajicá acorde a los resultados del análisis; 210. Elaborar e implementar 1 Plan anual de formación en competitividad, legalización, acceso a crédito y microcrédito y apoyo a los comerciantes",2,"Los productos seleccionados facilitan el cumplimiento del objetivo del proyecto al apoyar a emprendedores y pymes, aunque no cumplen con todos los requerimientos técnicos establecidos."
Cajicá,25126,SisPT – Plan indicativo - Productos,2-3,Llevar a cabo una consultoría para el establecimiento de una política de generación de valor agregado para las principales cadenas productivas.,"350202100, 350200300",Unidades productivas fortalecidas; Programas de gestión empresarial ejecutados en unidades productivas,218. Realizar 1 mesa de trabajo anual con el sector industrial para realizar alianzas estratégicas de beneficio común; 222. Implementar 1 proyecto con potencial turístico para Cajicá acorde a los resultados del análisis,1,"Los productos seleccionados facilitan el cumplimiento del objetivo del proyecto al fortalecer la capacidad productiva y empresarial de la región, aunque no cumplen con todos los requerimientos."
Cajicá,25126,SisPT – Plan indicativo - Productos,2-4,Consolidación de la Red de Escenarios Multipropósito para la recreación y el esparcimiento por medio de la formulación e implementación de un Plan Maestro.,400202000,Espacio publico adecuado,57. Formular e implementar al 100% el plan de acción anual del Plan Maestro de Espacio Público y Movilidad Cero Emisiones para Cajicá,1,"El producto facilita el cumplimiento del objetivo de mejorar la infraestructura para la recreación, aunque no cumple con todos los requerimientos del proyecto."
Cajicá,25126,SisPT – Plan indicativo - Productos,2-5,Diseño e implementación del plan estratégico de turismo de Sabana Centro,"350204603, 350204500",Regiones con planes de divulgación y promoción; Personas capacitadas,"221. Elaborar e implementar 1 plan de mercadeo, promoción y divulgación turística del Municipio - Cajicá Destino Turístico -; 223. Elaborar y desarrollar 1 estrategia anual de competitividad sectorial para el turismo en Cajicá",3,"Los productos seleccionados cumplen con el objetivo del proyecto de integrar y promover el turismo en Cajicá, además de alinearse con los requerimientos técnicos establecidos."
Cajicá,25126,SisPT – Plan indicativo - Productos,2-6,Creación de un programa provincial para la implementación de los planes especiales de manejo y protección (PEMP) para la conservación y recuperación de centros históricos e inmuebles de valor arquitectónico en los municipios de la provincia.,330204900,Procesos de salvaguardia efectiva del patrimonio inmaterial realizados,199. Formular e implementar al 100% el plan de acción anual del Plan Especial de Manejo y protección del Patrimonio Histórico y Cultural - PEMP,2,"El producto seleccionado cumple parcialmente con el objetivo de conservación del patrimonio arquitectónico, aunque no aborda todos los requerimientos del proyecto."
Cajicá,25126,SisPT – Plan indicativo - Productos,3-1,Formulación y ejecución de proyecto para la prestación del servicio de acueducto a través de una ﬁgura empresarial de carácter regional,400300601,Documentos de planeación en políticas de Agua Potable y Saneamiento Básico elaborados,27. Implementar al 100% el Plan de acción anual del Plan Maestro de Acueducto,3,El producto cumple con el objetivo del proyecto y con todos los requerimientos técnicos necesarios para su ejecución.
Cajicá,25126,SisPT – Plan indicativo - Productos,3-2,Elaboración del Plan Maestro de Movilidad de la Provincia que articule la movilidad entre los municipios y la ciudad capital.,"240900801, 400201603, 400201601, 400203400, 240210701",Documentos de lineamientos técnicos en temas de seguridad de transporte formulados; Documentos de formulación del Plan de Ordenamiento Departamental elaborados; Documentos de planeación en Ordenamiento Territorial implementados; Estudios o diseños realizados; Proyectos soportados con asistencia técnica,243.Actualizar e implementar al 100% el plan de acción anual del Plan Municipal de Movilidad Seguro y Sostenible al 100% - Resolución No 15885 Min - Transporte; 46. Elaborar e implementar 1 Plan anual para el desarrollo de las actividades de planificación del territorio. SRB ORDEN 4.10; 45. Implementar al 100% el plan de acción anual del Plan Básico de Ordenamiento Territorial vigente SRB ORDEN 4.10; 47. Realizar 1 estudio y diseño para la revisión general del Plan de Ordenamiento Territorial; 242. Realizar 1 acción de gestión predial para las vías proyectadas en el ordenamiento del territorio,1,"Los productos seleccionados facilitan el cumplimiento del objetivo del proyecto al abordar aspectos de movilidad y ordenamiento territorial, aunque no cumplen con todos los requerimientos técnicos establecidos."
Cajicá,25126,SisPT – Plan indicativo - Productos,3-3,"Estudios, diseños y construcción del tren de cercanías línea del norte","400203400, 400201601",Estudios o diseños realizados; Documentos de planeación en Ordenamiento Territorial implementados,47. Realizar 1 estudio y diseño para la revisión general del Plan de Ordenamiento Territorial; 45. Implementar al 100% el plan de acción anual del Plan Básico de Ordenamiento Territorial vigente SRB ORDEN 4.10,2,"Los productos seleccionados contribuyen a la actualización y planificación del ordenamiento territorial, que es esencial para el desarrollo del sistema de transporte alternativo férreo masivo regional."
Cajicá,25126,SisPT – Plan indicativo - Productos,3-4,Diseño y construcción de un centro de acopio,400203400,Estudios o diseños realizados,47. Realizar 1 estudio y diseño para la revisión general del Plan de Ordenamiento Territorial,1,"El producto facilita el cumplimiento del objetivo al abordar el ordenamiento territorial, pero no cumple con todos los requerimientos técnicos necesarios para la infraestructura logística."
Cajicá,25126,SisPT – Plan indicativo - Productos,3-5,Actualización catastral de los municipios de Sabana Centro,040600400,Sistema de Información catastral actualizado,316. Ejecutar 1 convenio de actualización y/o conservación rural y urbana en Cajicá,3,El producto cumple con el objetivo del proyecto y con todos los requerimientos técnicos necesarios para su implementación.
Cajicá,25126,SisPT – Plan indicativo - Productos,3-6,Transporte Público regional de pasajeros y carga (PROYECTO NUEVO),"240902500, 240900800, 240900900",Documentos normativos elaborados; Documentos de lineamientos técnicos realizados; Estrategias implementadas,247. Elaborar y realizar 1 plan de control y vigilancia del transporte público del Municipio; 250. Realizar 1 apoyo técnico para la estructuración de proyectos de transporte público masivo LRT ( Light Rail Transit); 245. Ejecutar 1 modelo de habilitación de zonas de parqueo en el área urbana,1,"Los productos seleccionados facilitan el cumplimiento del objetivo del proyecto de transporte público, aunque no cumplen con requerimientos específicos."
Cajicá,25126,SisPT – Plan indicativo - Productos,3-7,Ciclorutas de la Sabana Probogotá,"240203300, 240203401",Ciclo infraestructura de la red secundaria construida; Ciclo infraestructura de la red secundaria con mantenimiento,"240. Elaborar y ejecutar 1 Plan anual para la construcción, adecuación y mantenimiento de la Red Municipal de Ciclorrutas; 241. Elaborar y ejecutar 1 Plan anual para el mantenimiento y adecuación de la Red Municipal Bici carriles",3,"Los productos seleccionados cumplen con el objetivo del proyecto de construir y mantener la red de ciclorrutas, además de alinearse con los requerimientos técnicos establecidos."
Cajicá,25126,SisPT – Plan indicativo - Productos,4-1,Definición de determinantes de la salud priorizados para Sabana Centro y plan de intervención y monitoreo,"190503701, 190504901",Documentos de análisis de salud pública elaborados; Personas que participan en estrategias de promoción de la participación social en Salud,"177. Desarrollar y actualizar 1 Análisis en Salud e indicadores trazadores en salud, para la planeación integral y la toma de decisiones en el marco de la gestión de la salud pública del municipio de Cajicá.; 181. Crear 1 alianza estratégica en salud en la región de Sabana Centro",2,"Los productos seleccionados facilitan la toma de decisiones y promueven la participación social en salud, alineándose con el objetivo del proyecto, aunque no cumplen completamente con todos los requerimientos técnicos."
Cajicá,25126,SisPT – Plan indicativo - Productos,4-2,"Consolidación del ecosistema de prevención, monitoreo y atención de salud mental de la provincia","190501500, 190501507, 190501400, 190505003, 190501505",Documentos de planeación elaborados; Documentos de planeación integral en salud realizados; Documentos de lineamientos técnicos elaborados; Personas apoyadas; Planes estratégicos elaborados,"168. Formular e implementar al 100% el Plan de Acción anual de la Política Pública Municipal de Salud Mental; 178. Implementar 1 Plan anual integral del riesgo articulado con el Plan Municipal de Gestión del Riesgo.; 169. Formular e implementar al 100% el Plan de Acción anual de la Política Pública Municipal de Salud Sexual; 179. Garantizar a través de 1 contrato interadministrativo la ejecución del programa de atención psicosocial y salud integral de las víctimas (PAPSIVI); 173. Implementar en el municipio de Cajicá 1 estrategia de ciudades, entornos, ruralidades saludables y sustentables (CERSS).",2,"Los productos seleccionados abordan la salud mental y la atención psicosocial, alineándose con el objetivo del proyecto, aunque no cumplen todos los requerimientos técnicos."
Cajicá,25126,SisPT – Plan indicativo - Productos,4-3,ProgramaPrograma telesalud para Sabana Centro telesalud para Sabana Centro,"190501505, 190302500, 190505003, 190603500, 190505412","Planes estratégicos elaborados; estrategias para el fortalecimiento del control social en salud implementadas; Personas apoyadas; Instituciones financiadas para la atención en salud a la población; Estrategias de promoción de la salud en modos, condiciones y estilos de vida saludables implementadas","173. Implementar en el municipio de Cajicá 1 estrategia de ciudades, entornos, ruralidades saludables y sustentables (CERSS).; 159. Garantizar al 100% el funcionamiento de la Secretaría de Salud con el pago de la nómina de personal; 179. Garantizar a través de 1 contrato interadministrativo la ejecución del programa de atención psicosocial y salud integral de las víctimas (PAPSIVI); 162. Realizar 1 convenio de desempeño con la ESE Hospital Profesor Jorge Cavelier que garantice el pago de los recursos de oferta; 164. Ejecutar 1 programa de ruta saludable en el municipio que garantice accesibilidad a la población vulnerable",2,"Los productos seleccionados están relacionados con la atención en salud y la promoción de la salud, cumpliendo parcialmente con el objetivo del proyecto, aunque no todos los requerimientos son satisfechos."
Cajicá,25126,SisPT – Plan indicativo - Productos,4-4,Diseño e implementación de estrategias de adaptación municipal para la implementación local de la Atención Primaria en Salud,190502301,Personas atendidas con campañas de promoción sobre condiciones crónicas prevalentes,"167. Aplicar el modelo de atención primaria en salud a 3.600 personas vulnerables del municipio de Cajicá implementando la estrategia ""Medicina en tu Hogar"" en el marco del nuevo modelo preventivo y predictivo",1,"El producto facilita el cumplimiento del objetivo del proyecto al aplicar el modelo de atención primaria en salud a una población vulnerable, aunque no cumple con todos los requerimientos."
Cajicá,25126,SisPT – Plan indicativo - Productos,4-5,"Implementación de la estrategia Ciudades, Entornos y Ruralidades Saludables (CERS), en Sabana Centro","190501505, 430100100",Planes estratégicos elaborados; Personas beneficiadas,"173. Implementar en el municipio de Cajicá 1 estrategia de ciudades, entornos, ruralidades saludables y sustentables (CERSS).; 205. Elaborar e implementar 1 Plan anual de actividades destinadas a promover el deporte comunitario mediante el Fomento y Desarrollo Social",2,"El producto principal cumple parcialmente con el objetivo del proyecto al abordar la salud en el contexto territorial, mientras que el segundo producto contribuye indirectamente al bienestar social a través del deporte."
Cajicá,25126,SisPT – Plan indicativo - Productos,5-1,Estudio y formulación de una estrategia de pertinencia educativa para la formación del capital humano en Sabana Centro,220103000,Beneficiarios atendidos con modelos educativos flexibles,146. Elaborar e implementar 1 Plan anual que permita a la población en extra edad continuar con su educación formal,1,"El producto facilita el cumplimiento del objetivo al ofrecer modelos educativos que pueden ayudar a mejorar el perfil del capital humano, aunque no aborda todos los requerimientos del proyecto."
Cajicá,25126,SisPT – Plan indicativo - Productos,5-2,Crear La Asociación de Instituciones de Educación Superior de Sabana Centro,"220206700, 390601000, 190504901, 220206300, 430103705",Programas y proyectos de educación o investigación articulados con el sector productivo; Programas y proyectos financiados; Personas que participan en estrategias de promoción de la participación social en Salud; Beneficiarios de estrategias o programas de apoyo financiero para el acceso a la educación superior; Sedes educativas apoyadas con programas de fomento,"156. Elaborar y realizar 1 estrategia anual para articular la media con las competencias laborales - Educación para el Trabajo; 229. Formular e Implementar al 100% el plan de acción anual del Plan Municipal de Ciencia, Tecnología e Innovación de Cajicá; 181. Crear 1 alianza estratégica en salud en la región de Sabana Centro; 158. laborar y ejecutar 1 Plan anual para incrementar el acceso a la educación superior; 207. Articular con las 7 Instituciones Educativas Públicas para apoyar la clase de educación física",2,"Los productos seleccionados contribuyen a la articulación y fortalecimiento de la educación superior en la región, aunque no todos cumplen completamente con los requerimientos del proyecto."
Cajicá,25126,SisPT – Plan indicativo - Productos,5-3,"Reforzar los esquemas de coﬁnanciación para programas de pasantías y becas para estudiantes destacados, con apoyo de las universidades de Sabana Centro y el sector industrial de la provincia.",220206200,Beneficiarios de estrategias o programas de fomento para el acceso a la educación superior,157. Garantizar el funcionamiento anual de 1 Fondo de Educación Superior,3,El producto seleccionado cumple con el objetivo del proyecto de fomentar el acceso a la educación superior y aborda los requerimientos técnicos relacionados con la movilización de recursos para estudiantes.
Cajicá,25126,SisPT – Plan indicativo - Productos,5-4,"Promover programas educativos, enfocados en ciencia y tecnología a través de un laboratorio de creatividad",390601701,Cursos de desarrollo tecnológico e innovación realizados,"231. Promover y fomentar las capacidades, competencias y habilidades en Ciencia, Tecnología e Innovación con la realización de 5 campañas",1,"El producto facilita el cumplimiento del objetivo del proyecto al promover capacidades en innovación, pero no cumple con todos los requerimientos técnicos necesarios para la operación del laboratorio."
Cajicá,25126,SisPT – Plan indicativo - Productos,5-5,Creación Territorio STEM Sabana Centro,390601701,Cursos de desarrollo tecnológico e innovación realizados,"231. Promover y fomentar las capacidades, competencias y habilidades en Ciencia, Tecnología e Innovación con la realización de 5 campañas",1,"El producto seleccionado facilita el cumplimiento del objetivo del proyecto al promover capacidades en Ciencia y Tecnología, aunque no aborda todos los requerimientos específicos del mismo."
Cajicá,25126,SisPT – Plan indicativo - Productos,6-1,Gestión y articulación de la información de la región Sabana Centro,"190503701, 190303400",Documentos de análisis de salud pública elaborados; Asistencias técnicas realizadas,"177. Desarrollar y actualizar 1 Análisis en Salud e indicadores trazadores en salud, para la planeación integral y la toma de decisiones en el marco de la gestión de la salud pública del municipio de Cajicá.; 185. Realizar asistencia técnica al 100% de prestadores de servicios de salud en el municipio en procesos de habilitación, programa de auditoría y mejoramiento a la calidad (PAMEC), gestión integral de residuos hospitalarios (PGIRH) y en el sistema de información y atención al usuario (SIAU).",1,"Los productos seleccionados facilitan el acceso a información y asistencia técnica en salud, lo que es relevante para la toma de decisiones en el contexto del proyecto, aunque no cumplen con todos los requerimientos."
Cajicá,25126,SisPT – Plan indicativo - Productos,6-2,"Capacitación a funcionarios y servidores públicos de las entidades públicas de los municipios de Sabana Centro, en el uso de las herramientas o plataformas digitales de datos e indicadores de la región",450203400,Personas capacitadas,"298. Implementar 1 estrategia anual de capacitación, formación y fortalecimiento de las Juntas de Acción comunal - JAC",1,"El producto seleccionado contribuye a la capacitación de funcionarios, lo que puede facilitar el objetivo del proyecto, aunque no cumple con todos los requerimientos específicos."
Cajicá,25126,SisPT – Plan indicativo - Productos,6-3,Espacios de interlocución / Articulación Asocentro -IES - sector privado,"190503701, 250101700, 390601701, 230107700, 350202100",Documentos de análisis de salud pública elaborados; Políticas públicas de control y vigilancia fiscal con procesos de seguimiento realizados; Cursos de desarrollo tecnológico e innovación realizados; Sistemas de información actualizados; Unidades productivas fortalecidas,"177. Desarrollar y actualizar 1 Análisis en Salud e indicadores trazadores en salud, para la planeación integral y la toma de decisiones en el marco de la gestión de la salud pública del municipio de Cajicá.; 334. Elaborar e Implementar 1 estrategia anual para el seguimiento, monitoreo, evaluación y rendición de cuentas de las políticas públicas y planes sectoriales del municipio; 231. Promover y fomentar las capacidades, competencias y habilidades en Ciencia, Tecnología e Innovación con la realización de 5 campañas; 324. Desarrollar 1 Sistema de Comunicación Interno para mantener informados a todos los funcionarios de la Alcaldía Municipal; 218. Realizar 1 mesa de trabajo anual con el sector industrial para realizar alianzas estratégicas de beneficio común",1,"Los productos seleccionados facilitan la articulación y la toma de decisiones, pero no cumplen completamente con el objetivo del proyecto de gobernanza territorial multiactor."
Cajicá,25126,SisPT – Plan indicativo - Productos,6-4,"Diseñar e implementar mecanismos para la formulación, evaluación y ejecución de proyectos de carácter provincial.","250100401, 250100600, 450203500, 410306400, 410110300",Estrategias implementadas; Estrategias de comunicación y posicionamiento institucional implementadas; Documentos de planeación elaborados; Documentos de evaluaciones realizados; Documentos de planeación elaborados,"333. Establecer 1 estrategia anual de seguimiento, monitoreo, evaluación y rendición de cuentas del Plan de Desarrollo Municipal; 335. Elaborar e Implementar anualmente 1 Modelo de Gestión por Resultados que permita articular los procesos de la Alcaldía Municipal; 256. Implementar al 100% el plan de acción anual del Plan de Seguridad y Salud en el Trabajo; 108. Formular e implementar al 100% el plan de acción anual de la Política Pública Municipal de Familia; 99. Implementar al 100% el plan de acción anual de la Política Pública Municipal de Mujer y Género",1,"Los productos seleccionados facilitan la implementación de la planeación estratégica, aunque no cumplen completamente con todos los objetivos y requerimientos del proyecto."
Cajicá,25126,SisPT – Plan indicativo - Productos,6-5,Creación del Banco de buenas prácticas de gestión pública en la región Sabana Centro,170203500,Personas capacitadas,234. Elaborar y desarrollar 1 estrategia anual que fomente las buenas prácticas agrícolas y ganaderas del Municipio,1,"El producto seleccionado facilita el cumplimiento del objetivo del proyecto al fomentar buenas prácticas, pero no aborda directamente los requerimientos de inventario de buenas prácticas."
Cajicá,25126,SisPT – Plan indicativo - Productos,6-6,Adquisición y puesta en marcha de un sistema de información geográﬁca tanto para los municipios como a nivel provincial,"230107500, 450303200, 400201601, 400203400, 190501507",Sistemas de información implementados; Sistemas de información actualizados; Documentos de planeación en Ordenamiento Territorial implementados; Estudios o diseños realizados; Documentos de planeación integral en salud realizados,323. Implementar 1 Sistema Integral de Información - SII que permita consultar las diferentes actividades que realiza el Municipio de Cajicá; 276. Implementar 1 Sistema de Información y Comunicación en gestión del riesgo; 45. Implementar al 100% el plan de acción anual del Plan Básico de Ordenamiento Territorial vigente SRB ORDEN 4.10; 47. Realizar 1 estudio y diseño para la revisión general del Plan de Ordenamiento Territorial; 178. Implementar 1 Plan anual integral del riesgo articulado con el Plan Municipal de Gestión del Riesgo.,2,"Los productos seleccionados están directamente relacionados con la implementación de sistemas de información y la gestión territorial, cumpliendo parcialmente con los objetivos y requerimientos del proyecto."
Cajicá,25126,SisPT – Plan indicativo - Productos,6-7,Identiﬁcar potenciales alianzas público privadas de inversiones en infraestructura de impacto regional que puedan ser ﬁnanciadas y recuperadas por valorización y/o plusvalía.,240211000,Terminales de transporte construidas,249. Gestionar 1 proyecto con la empresa privada para la construcción del terminal de transporte De Cajicá,1,El producto seleccionado facilita el cumplimiento del objetivo del proyecto al contribuir a la infraestructura necesaria para las alianzas público-privadas.
Cajicá,25126,SisPT – Plan indicativo - Productos,6-8,"Elaboración de estudios técnicos, ﬁnanciera, administrativo y jurídico para la recuperación de las inversiones, vía valorización, por efecto de las inversiones efectuadas que incrementan los valores comerciales de los predios.","040600400, 240210701",Sistema de Información catastral actualizado; Proyectos soportados con asistencia técnica,316. Ejecutar 1 convenio de actualización y/o conservación rural y urbana en Cajicá; 242. Realizar 1 acción de gestión predial para las vías proyectadas en el ordenamiento del territorio,2,"Los productos seleccionados son relevantes para el fortalecimiento del cobro por valorización y la gestión administrativa, cumpliendo parcialmente con los objetivos y requerimientos del proyecto."
